State,Year,Winning Party,Flip,President,President Party,Winning Party D,Winning Party O,Winning Party R
Massachusetts,1800,O,0,Thomas Jefferson,O,0,1,0
Michigan,1800,,0,Thomas Jefferson,O,0,0,0
Minnesota,1800,,0,Thomas Jefferson,O,0,0,0
Mississippi,1800,,0,Thomas Jefferson,O,0,0,0
Missouri,1800,,0,Thomas Jefferson,O,0,0,0
Montana,1800,,0,Thomas Jefferson,O,0,0,0
Nebraska,1800,,0,Thomas Jefferson,O,0,0,0
Nevada,1800,,0,Thomas Jefferson,O,0,0,0
New Hampshire,1800,O,0,Thomas Jefferson,O,0,1,0
New Jersey,1800,O,0,Thomas Jefferson,O,0,1,0
New Mexico,1800,,0,Thomas Jefferson,O,0,0,0
New York,1800,O,0,Thomas Jefferson,O,0,1,0
North Carolina,1800,O,0,Thomas Jefferson,O,0,1,0
North Dakota,1800,,0,Thomas Jefferson,O,0,0,0
Ohio,1800,,0,Thomas Jefferson,O,0,0,0
Oklahoma,1800,,0,Thomas Jefferson,O,0,0,0
Oregon,1800,,0,Thomas Jefferson,O,0,0,0
Pennsylvania,1800,O,0,Thomas Jefferson,O,0,1,0
Rhode Island,1800,O,0,Thomas Jefferson,O,0,1,0
South Carolina,1800,O,0,Thomas Jefferson,O,0,1,0
South Dakota,1800,,0,Thomas Jefferson,O,0,0,0
Tennessee,1800,O,0,Thomas Jefferson,O,0,1,0
Texas,1800,,0,Thomas Jefferson,O,0,0,0
Utah,1800,,0,Thomas Jefferson,O,0,0,0
Vermont,1800,O,0,Thomas Jefferson,O,0,1,0
Virginia,1800,O,0,Thomas Jefferson,O,0,1,0
Washington,1800,,0,Thomas Jefferson,O,0,0,0
West Virginia,1800,,0,Thomas Jefferson,O,0,0,0
Wisconsin,1800,,0,Thomas Jefferson,O,0,0,0
Wyoming,1800,,0,Thomas Jefferson,O,0,0,0
Alabama,1804,,0,Thomas Jefferson,O,0,0,0
Alaska,1804,,0,Thomas Jefferson,O,0,0,0
Arizona,1804,,0,Thomas Jefferson,O,0,0,0
Arkansas,1804,,0,Thomas Jefferson,O,0,0,0
California,1804,,0,Thomas Jefferson,O,0,0,0
Colorado,1804,,0,Thomas Jefferson,O,0,0,0
Connecticut,1804,O,0,Thomas Jefferson,O,0,1,0
D.C.,1804,,0,Thomas Jefferson,O,0,0,0
Delaware,1804,O,0,Thomas Jefferson,O,0,1,0
Florida,1804,,0,Thomas Jefferson,O,0,0,0
Georgia,1804,O,0,Thomas Jefferson,O,0,1,0
Hawaii,1804,,0,Thomas Jefferson,O,0,0,0
Idaho,1804,,0,Thomas Jefferson,O,0,0,0
Illinois,1804,,0,Thomas Jefferson,O,0,0,0
Indiana,1804,,0,Thomas Jefferson,O,0,0,0
Iowa,1804,,0,Thomas Jefferson,O,0,0,0
Kansas,1804,,0,Thomas Jefferson,O,0,0,0
Kentucky,1804,O,0,Thomas Jefferson,O,0,1,0
Louisiana,1804,,0,Thomas Jefferson,O,0,0,0
Maine,1804,,0,Thomas Jefferson,O,0,0,0
Maryland,1804,O,0,Thomas Jefferson,O,0,1,0
Massachusetts,1804,O,0,Thomas Jefferson,O,0,1,0
Michigan,1804,,0,Thomas Jefferson,O,0,0,0
Minnesota,1804,,0,Thomas Jefferson,O,0,0,0
Mississippi,1804,,0,Thomas Jefferson,O,0,0,0
Missouri,1804,,0,Thomas Jefferson,O,0,0,0
Montana,1804,,0,Thomas Jefferson,O,0,0,0
Nebraska,1804,,0,Thomas Jefferson,O,0,0,0
Nevada,1804,,0,Thomas Jefferson,O,0,0,0
New Hampshire,1804,O,0,Thomas Jefferson,O,0,1,0
New Jersey,1804,O,0,Thomas Jefferson,O,0,1,0
New Mexico,1804,,0,Thomas Jefferson,O,0,0,0
New York,1804,O,0,Thomas Jefferson,O,0,1,0
North Carolina,1804,O,0,Thomas Jefferson,O,0,1,0
North Dakota,1804,,0,Thomas Jefferson,O,0,0,0
Ohio,1804,O,0,Thomas Jefferson,O,0,1,0
Oklahoma,1804,,0,Thomas Jefferson,O,0,0,0
Oregon,1804,,0,Thomas Jefferson,O,0,0,0
Pennsylvania,1804,O,0,Thomas Jefferson,O,0,1,0
Rhode Island,1804,O,0,Thomas Jefferson,O,0,1,0
South Carolina,1804,O,0,Thomas Jefferson,O,0,1,0
South Dakota,1804,,0,Thomas Jefferson,O,0,0,0
Tennessee,1804,O,0,Thomas Jefferson,O,0,1,0
Texas,1804,,0,Thomas Jefferson,O,0,0,0
Utah,1804,,0,Thomas Jefferson,O,0,0,0
Vermont,1804,O,0,Thomas Jefferson,O,0,1,0
Virginia,1804,O,0,Thomas Jefferson,O,0,1,0
Washington,1804,,0,Thomas Jefferson,O,0,0,0
West Virginia,1804,,0,Thomas Jefferson,O,0,0,0
Wisconsin,1804,,0,Thomas Jefferson,O,0,0,0
Wyoming,1804,,0,Thomas Jefferson,O,0,0,0
Alabama,1808,,0,James Madison,O,0,0,0
Alaska,1808,,0,James Madison,O,0,0,0
Arizona,1808,,0,James Madison,O,0,0,0
Arkansas,1808,,0,James Madison,O,0,0,0
California,1808,,0,James Madison,O,0,0,0
Colorado,1808,,0,James Madison,O,0,0,0
Connecticut,1808,O,0,James Madison,O,0,1,0
D.C.,1808,,0,James Madison,O,0,0,0
Delaware,1808,O,0,James Madison,O,0,1,0
Florida,1808,,0,James Madison,O,0,0,0
Georgia,1808,O,0,James Madison,O,0,1,0
Hawaii,1808,,0,James Madison,O,0,0,0
Idaho,1808,,0,James Madison,O,0,0,0
Illinois,1808,,0,James Madison,O,0,0,0
Indiana,1808,,0,James Madison,O,0,0,0
Iowa,1808,,0,James Madison,O,0,0,0
Kansas,1808,,0,James Madison,O,0,0,0
Kentucky,1808,O,0,James Madison,O,0,1,0
Louisiana,1808,,0,James Madison,O,0,0,0
Maine,1808,,0,James Madison,O,0,0,0
Maryland,1808,O,0,James Madison,O,0,1,0
Massachusetts,1808,O,0,James Madison,O,0,1,0
Michigan,1808,,0,James Madison,O,0,0,0
Minnesota,1808,,0,James Madison,O,0,0,0
Mississippi,1808,,0,James Madison,O,0,0,0
Missouri,1808,,0,James Madison,O,0,0,0
Montana,1808,,0,James Madison,O,0,0,0
Nebraska,1808,,0,James Madison,O,0,0,0
Nevada,1808,,0,James Madison,O,0,0,0
New Hampshire,1808,O,0,James Madison,O,0,1,0
New Jersey,1808,O,0,James Madison,O,0,1,0
New Mexico,1808,,0,James Madison,O,0,0,0
New York,1808,O,0,James Madison,O,0,1,0
North Carolina,1808,O,0,James Madison,O,0,1,0
North Dakota,1808,,0,James Madison,O,0,0,0
Ohio,1808,O,0,James Madison,O,0,1,0
Oklahoma,1808,,0,James Madison,O,0,0,0
Oregon,1808,,0,James Madison,O,0,0,0
Pennsylvania,1808,O,0,James Madison,O,0,1,0
Rhode Island,1808,O,0,James Madison,O,0,1,0
South Carolina,1808,O,0,James Madison,O,0,1,0
South Dakota,1808,,0,James Madison,O,0,0,0
Tennessee,1808,O,0,James Madison,O,0,1,0
Texas,1808,,0,James Madison,O,0,0,0
Utah,1808,,0,James Madison,O,0,0,0
Vermont,1808,O,0,James Madison,O,0,1,0
Virginia,1808,O,0,James Madison,O,0,1,0
Washington,1808,,0,James Madison,O,0,0,0
West Virginia,1808,,0,James Madison,O,0,0,0
Wisconsin,1808,,0,James Madison,O,0,0,0
Wyoming,1808,,0,James Madison,O,0,0,0
Alabama,1812,,0,James Madison,O,0,0,0
Alaska,1812,,0,James Madison,O,0,0,0
Arizona,1812,,0,James Madison,O,0,0,0
Arkansas,1812,,0,James Madison,O,0,0,0
California,1812,,0,James Madison,O,0,0,0
Colorado,1812,,0,James Madison,O,0,0,0
Connecticut,1812,O,0,James Madison,O,0,1,0
D.C.,1812,,0,James Madison,O,0,0,0
Delaware,1812,O,0,James Madison,O,0,1,0
Florida,1812,,0,James Madison,O,0,0,0
Georgia,1812,O,0,James Madison,O,0,1,0
Hawaii,1812,,0,James Madison,O,0,0,0
Idaho,1812,,0,James Madison,O,0,0,0
Illinois,1812,,0,James Madison,O,0,0,0
Indiana,1812,,0,James Madison,O,0,0,0
Iowa,1812,,0,James Madison,O,0,0,0
Kansas,1812,,0,James Madison,O,0,0,0
Kentucky,1812,O,0,James Madison,O,0,1,0
Louisiana,1812,O,0,James Madison,O,0,1,0
Maine,1812,,0,James Madison,O,0,0,0
Maryland,1812,O,0,James Madison,O,0,1,0
Massachusetts,1812,O,0,James Madison,O,0,1,0
Michigan,1812,,0,James Madison,O,0,0,0
Minnesota,1812,,0,James Madison,O,0,0,0
Mississippi,1812,,0,James Madison,O,0,0,0
Missouri,1812,,0,James Madison,O,0,0,0
Montana,1812,,0,James Madison,O,0,0,0
Nebraska,1812,,0,James Madison,O,0,0,0
Nevada,1812,,0,James Madison,O,0,0,0
New Hampshire,1812,O,0,James Madison,O,0,1,0
New Jersey,1812,O,0,James Madison,O,0,1,0
New Mexico,1812,,0,James Madison,O,0,0,0
New York,1812,O,0,James Madison,O,0,1,0
North Carolina,1812,O,0,James Madison,O,0,1,0
North Dakota,1812,,0,James Madison,O,0,0,0
Ohio,1812,O,0,James Madison,O,0,1,0
Oklahoma,1812,,0,James Madison,O,0,0,0
Oregon,1812,,0,James Madison,O,0,0,0
Pennsylvania,1812,O,0,James Madison,O,0,1,0
Rhode Island,1812,O,0,James Madison,O,0,1,0
South Carolina,1812,O,0,James Madison,O,0,1,0
South Dakota,1812,,0,James Madison,O,0,0,0
Tennessee,1812,O,0,James Madison,O,0,1,0
Texas,1812,,0,James Madison,O,0,0,0
Utah,1812,,0,James Madison,O,0,0,0
Vermont,1812,O,0,James Madison,O,0,1,0
Virginia,1812,O,0,James Madison,O,0,1,0
Washington,1812,,0,James Madison,O,0,0,0
West Virginia,1812,,0,James Madison,O,0,0,0
Wisconsin,1812,,0,James Madison,O,0,0,0
Wyoming,1812,,0,James Madison,O,0,0,0
Alabama,1816,,0,James Monroe,O,0,0,0
Alaska,1816,,0,James Monroe,O,0,0,0
Arizona,1816,,0,James Monroe,O,0,0,0
Arkansas,1816,,0,James Monroe,O,0,0,0
California,1816,,0,James Monroe,O,0,0,0
Colorado,1816,,0,James Monroe,O,0,0,0
Connecticut,1816,O,0,James Monroe,O,0,1,0
D.C.,1816,,0,James Monroe,O,0,0,0
Delaware,1816,O,0,James Monroe,O,0,1,0
Florida,1816,,0,James Monroe,O,0,0,0
Georgia,1816,O,0,James Monroe,O,0,1,0
Hawaii,1816,,0,James Monroe,O,0,0,0
Idaho,1816,,0,James Monroe,O,0,0,0
Illinois,1816,,0,James Monroe,O,0,0,0
Indiana,1816,O,0,James Monroe,O,0,1,0
Iowa,1816,,0,James Monroe,O,0,0,0
Kansas,1816,,0,James Monroe,O,0,0,0
Kentucky,1816,O,0,James Monroe,O,0,1,0
Louisiana,1816,O,0,James Monroe,O,0,1,0
Maine,1816,,0,James Monroe,O,0,0,0
Maryland,1816,O,0,James Monroe,O,0,1,0
Massachusetts,1816,O,0,James Monroe,O,0,1,0
Michigan,1816,,0,James Monroe,O,0,0,0
Minnesota,1816,,0,James Monroe,O,0,0,0
Mississippi,1816,,0,James Monroe,O,0,0,0
Missouri,1816,,0,James Monroe,O,0,0,0
Montana,1816,,0,James Monroe,O,0,0,0
Nebraska,1816,,0,James Monroe,O,0,0,0
Nevada,1816,,0,James Monroe,O,0,0,0
New Hampshire,1816,O,0,James Monroe,O,0,1,0
New Jersey,1816,O,0,James Monroe,O,0,1,0
New Mexico,1816,,0,James Monroe,O,0,0,0
New York,1816,O,0,James Monroe,O,0,1,0
North Carolina,1816,O,0,James Monroe,O,0,1,0
North Dakota,1816,,0,James Monroe,O,0,0,0
Ohio,1816,O,0,James Monroe,O,0,1,0
Oklahoma,1816,,0,James Monroe,O,0,0,0
Oregon,1816,,0,James Monroe,O,0,0,0
Pennsylvania,1816,O,0,James Monroe,O,0,1,0
Rhode Island,1816,O,0,James Monroe,O,0,1,0
South Carolina,1816,O,0,James Monroe,O,0,1,0
South Dakota,1816,,0,James Monroe,O,0,0,0
Tennessee,1816,O,0,James Monroe,O,0,1,0
Texas,1816,,0,James Monroe,O,0,0,0
Utah,1816,,0,James Monroe,O,0,0,0
Vermont,1816,O,0,James Monroe,O,0,1,0
Virginia,1816,O,0,James Monroe,O,0,1,0
Washington,1816,,0,James Monroe,O,0,0,0
West Virginia,1816,,0,James Monroe,O,0,0,0
Wisconsin,1816,,0,James Monroe,O,0,0,0
Wyoming,1816,,0,James Monroe,O,0,0,0
Alabama,1820,O,0,James Monroe,O,0,1,0
Alaska,1820,,0,James Monroe,O,0,0,0
Arizona,1820,,0,James Monroe,O,0,0,0
Arkansas,1820,,0,James Monroe,O,0,0,0
California,1820,,0,James Monroe,O,0,0,0
Colorado,1820,,0,James Monroe,O,0,0,0
Connecticut,1820,O,0,James Monroe,O,0,1,0
D.C.,1820,,0,James Monroe,O,0,0,0
Delaware,1820,O,0,James Monroe,O,0,1,0
Florida,1820,,0,James Monroe,O,0,0,0
Georgia,1820,O,0,James Monroe,O,0,1,0
Hawaii,1820,,0,James Monroe,O,0,0,0
Idaho,1820,,0,James Monroe,O,0,0,0
Illinois,1820,O,0,James Monroe,O,0,1,0
Indiana,1820,O,0,James Monroe,O,0,1,0
Iowa,1820,,0,James Monroe,O,0,0,0
Kansas,1820,,0,James Monroe,O,0,0,0
Kentucky,1820,O,0,James Monroe,O,0,1,0
Louisiana,1820,O,0,James Monroe,O,0,1,0
Maine,1820,O,0,James Monroe,O,0,1,0
Maryland,1820,O,0,James Monroe,O,0,1,0
Massachusetts,1820,O,0,James Monroe,O,0,1,0
Michigan,1820,,0,James Monroe,O,0,0,0
Minnesota,1820,,0,James Monroe,O,0,0,0
Mississippi,1820,O,0,James Monroe,O,0,1,0
Missouri,1820,O,0,James Monroe,O,0,1,0
Montana,1820,,0,James Monroe,O,0,0,0
Nebraska,1820,,0,James Monroe,O,0,0,0
Nevada,1820,,0,James Monroe,O,0,0,0
New Hampshire,1820,O,0,James Monroe,O,0,1,0
New Jersey,1820,O,0,James Monroe,O,0,1,0
New Mexico,1820,,0,James Monroe,O,0,0,0
New York,1820,O,0,James Monroe,O,0,1,0
North Carolina,1820,O,0,James Monroe,O,0,1,0
North Dakota,1820,,0,James Monroe,O,0,0,0
Ohio,1820,O,0,James Monroe,O,0,1,0
Oklahoma,1820,,0,James Monroe,O,0,0,0
Oregon,1820,,0,James Monroe,O,0,0,0
Pennsylvania,1820,O,0,James Monroe,O,0,1,0
Rhode Island,1820,O,0,James Monroe,O,0,1,0
South Carolina,1820,O,0,James Monroe,O,0,1,0
South Dakota,1820,,0,James Monroe,O,0,0,0
Tennessee,1820,O,0,James Monroe,O,0,1,0
Texas,1820,,0,James Monroe,O,0,0,0
Utah,1820,,0,James Monroe,O,0,0,0
Vermont,1820,O,0,James Monroe,O,0,1,0
Virginia,1820,O,0,James Monroe,O,0,1,0
Washington,1820,,0,James Monroe,O,0,0,0
West Virginia,1820,,0,James Monroe,O,0,0,0
Wisconsin,1820,,0,James Monroe,O,0,0,0
Wyoming,1820,,0,James Monroe,O,0,0,0
Alabama,1824,O,0,John Quincy Adams,O,0,1,0
Alaska,1824,,0,John Quincy Adams,O,0,0,0
Arizona,1824,,0,John Quincy Adams,O,0,0,0
Arkansas,1824,,0,John Quincy Adams,O,0,0,0
California,1824,,0,John Quincy Adams,O,0,0,0
Colorado,1824,,0,John Quincy Adams,O,0,0,0
Connecticut,1824,O,0,John Quincy Adams,O,0,1,0
D.C.,1824,,0,John Quincy Adams,O,0,0,0
Delaware,1824,O,0,John Quincy Adams,O,0,1,0
Florida,1824,,0,John Quincy Adams,O,0,0,0
Georgia,1824,O,0,John Quincy Adams,O,0,1,0
Hawaii,1824,,0,John Quincy Adams,O,0,0,0
Idaho,1824,,0,John Quincy Adams,O,0,0,0
Illinois,1824,O,0,John Quincy Adams,O,0,1,0
Indiana,1824,O,0,John Quincy Adams,O,0,1,0
Iowa,1824,,0,John Quincy Adams,O,0,0,0
Kansas,1824,,0,John Quincy Adams,O,0,0,0
Kentucky,1824,O,0,John Quincy Adams,O,0,1,0
Louisiana,1824,O,0,John Quincy Adams,O,0,1,0
Maine,1824,O,0,John Quincy Adams,O,0,1,0
Maryland,1824,O,0,John Quincy Adams,O,0,1,0
Massachusetts,1824,O,0,John Quincy Adams,O,0,1,0
Michigan,1824,,0,John Quincy Adams,O,0,0,0
Minnesota,1824,,0,John Quincy Adams,O,0,0,0
Mississippi,1824,O,0,John Quincy Adams,O,0,1,0
Missouri,1824,O,0,John Quincy Adams,O,0,1,0
Montana,1824,,0,John Quincy Adams,O,0,0,0
Nebraska,1824,,0,John Quincy Adams,O,0,0,0
Nevada,1824,,0,John Quincy Adams,O,0,0,0
New Hampshire,1824,O,0,John Quincy Adams,O,0,1,0
New Jersey,1824,O,0,John Quincy Adams,O,0,1,0
New Mexico,1824,,0,John Quincy Adams,O,0,0,0
New York,1824,O,0,John Quincy Adams,O,0,1,0
North Carolina,1824,O,0,John Quincy Adams,O,0,1,0
North Dakota,1824,,0,John Quincy Adams,O,0,0,0
Ohio,1824,O,0,John Quincy Adams,O,0,1,0
Oklahoma,1824,,0,John Quincy Adams,O,0,0,0
Oregon,1824,,0,John Quincy Adams,O,0,0,0
Pennsylvania,1824,O,0,John Quincy Adams,O,0,1,0
Rhode Island,1824,O,0,John Quincy Adams,O,0,1,0
South Carolina,1824,O,0,John Quincy Adams,O,0,1,0
South Dakota,1824,,0,John Quincy Adams,O,0,0,0
Tennessee,1824,O,0,John Quincy Adams,O,0,1,0
Texas,1824,,0,John Quincy Adams,O,0,0,0
Utah,1824,,0,John Quincy Adams,O,0,0,0
Vermont,1824,O,0,John Quincy Adams,O,0,1,0
Virginia,1824,O,0,John Quincy Adams,O,0,1,0
Washington,1824,,0,John Quincy Adams,O,0,0,0
West Virginia,1824,,0,John Quincy Adams,O,0,0,0
Wisconsin,1824,,0,John Quincy Adams,O,0,0,0
Wyoming,1824,,0,John Quincy Adams,O,0,0,0
Alabama,1828,D,0,Andrew Jackson,D,1,0,0
Alaska,1828,,0,Andrew Jackson,D,0,0,0
Arizona,1828,,0,Andrew Jackson,D,0,0,0
Arkansas,1828,,0,Andrew Jackson,D,0,0,0
California,1828,,0,Andrew Jackson,D,0,0,0
Colorado,1828,,0,Andrew Jackson,D,0,0,0
Connecticut,1828,O,0,Andrew Jackson,D,0,1,0
D.C.,1828,,0,Andrew Jackson,D,0,0,0
Delaware,1828,O,0,Andrew Jackson,D,0,1,0
Florida,1828,,0,Andrew Jackson,D,0,0,0
Georgia,1828,D,0,Andrew Jackson,D,1,0,0
Hawaii,1828,,0,Andrew Jackson,D,0,0,0
Idaho,1828,,0,Andrew Jackson,D,0,0,0
Illinois,1828,D,0,Andrew Jackson,D,1,0,0
Indiana,1828,D,0,Andrew Jackson,D,1,0,0
Iowa,1828,,0,Andrew Jackson,D,0,0,0
Kansas,1828,,0,Andrew Jackson,D,0,0,0
